points,t_obj,t_import,t_save,t_total,memory,size_obj,size_blend,size_total
1,0.927424,0.019537,0.001814,0.948775,0.136000,0.000263,0.388000,0.388263
1001,0.690694,0.110830,0.003519,0.805042,0.136000,0.526078,0.956000,1.482078
2001,0.730184,0.220391,0.005238,0.955813,0.152000,1.067953,1.524000,2.591953
3001,0.753552,0.313181,0.006916,1.073649,0.152000,1.617569,2.092000,3.709569
4001,0.803332,0.402748,0.008708,1.214788,0.160000,2.168181,2.660000,4.828181
5001,0.834401,0.503271,0.010814,1.348486,0.160000,2.720637,3.228000,5.948637
6001,0.866864,0.599938,0.014254,1.481055,0.168000,3.286761,3.796000,7.082761
7001,0.899575,0.709002,0.015747,1.624324,0.176000,3.832801,4.364000,8.196801
8001,0.909168,0.794440,0.016052,1.719660,0.176000,4.375341,4.932000,9.307341
9001,0.960772,0.920989,0.020034,1.901794,0.192000,4.921081,5.500000,10.421081
10001,1.006727,1.020154,0.019702,2.046583,0.192000,5.471869,6.068000,11.539869
11001,1.032373,1.104422,0.024077,2.160872,0.200000,6.018141,6.636000,12.654141
12001,1.099298,1.232037,0.023614,2.354949,0.208000,6.568173,7.204000,13.772173
13001,1.102748,1.301348,0.030386,2.434482,0.208000,7.129420,7.772000,14.901420
14001,1.137626,1.429364,0.032478,2.599468,0.208000,7.704860,8.340000,16.044860
15001,1.176589,1.546903,0.033842,2.757334,0.216000,8.280024,8.908000,17.188024
16001,1.209783,1.645381,0.030575,2.885738,0.224000,8.856200,9.476000,18.332200
17001,1.260669,1.726161,0.032153,3.018984,0.232000,9.431892,10.044000,19.475892
18001,1.276073,1.895228,0.036341,3.207641,0.240000,10.008200,10.612000,20.620200
19001,1.305040,2.020392,0.036819,3.362251,0.240000,10.581732,11.180000,21.761732
20001,1.340837,2.056450,0.036907,3.434193,0.248000,11.160424,11.748000,22.908424
21001,1.376005,2.187532,0.039145,3.602682,0.248000,11.735356,12.316000,24.051356
22001,1.404818,2.264513,0.045975,3.715307,0.264000,12.310404,12.884000,25.194404
23001,1.448592,2.355043,0.042871,3.846507,0.264000,12.890632,13.452000,26.342632
24001,1.468504,2.500317,0.049744,4.018566,0.272000,13.475156,14.020000,27.495156
25001,1.520468,2.652947,0.047065,4.220480,0.272000,14.054380,14.588000,28.642380
26001,1.558509,2.688071,0.049333,4.295912,0.280000,14.627052,15.156000,29.783052
27001,1.613267,2.814843,0.049454,4.477564,0.288000,15.204092,15.724000,30.928092
28001,1.631862,2.887596,0.053829,4.573287,0.288000,15.770448,16.292000,32.062448
29001,1.678884,3.002250,0.054024,4.735159,0.296000,16.343276,16.860000,33.203276
30001,1.681390,3.147751,0.061924,4.891064,0.304000,16.925144,17.428000,34.353144
31001,1.778322,3.289652,0.058768,5.126742,0.304000,17.502312,17.996000,35.498312
32001,1.773010,3.406734,0.059419,5.239164,0.312000,18.072260,18.564000,36.636260
33001,1.808170,3.482802,0.061157,5.352129,0.320000,18.656588,19.132000,37.788588
34001,1.846904,3.562872,0.062376,5.472152,0.320000,19.263808,19.700000,38.963808
35001,1.875688,3.690844,0.067116,5.633649,0.344000,19.862772,20.268000,40.130772
36001,1.917027,3.751247,0.065573,5.733846,0.344000,20.444840,20.836000,41.280840
37001,1.932488,3.937811,0.067701,5.938000,0.344000,21.030216,21.404000,42.434216
38001,1.979272,4.044303,0.070827,6.094402,0.344000,21.612532,21.972000,43.584532
39001,2.008503,4.147622,0.071061,6.227186,0.352000,22.195228,22.540000,44.735228
40001,1.997905,4.239440,0.074087,6.311432,0.360000,22.775132,23.108000,45.883132
41001,2.079559,4.388280,0.075812,6.543651,0.352000,23.356988,23.676000,47.032988
42001,2.125491,4.454482,0.077366,6.657340,0.368000,23.942192,24.244000,48.186192
43001,2.177833,4.568673,0.078111,6.824617,0.360000,24.539876,24.812000,49.351876
44001,2.195055,4.598939,0.080508,6.874502,0.376000,25.206936,25.380000,50.586936
45001,2.255075,4.723385,0.082147,7.060607,0.376000,25.830312,25.948000,51.778312
46001,2.289784,4.864672,0.083247,7.237704,0.384000,26.434900,26.516000,52.950900
47001,2.308338,4.990613,0.086070,7.385021,0.400000,27.038588,27.084000,54.122588
48001,2.357719,5.173275,0.088432,7.619426,0.392000,27.634424,27.652000,55.286424
49001,2.386435,5.236353,0.090318,7.713106,0.400000,28.206472,28.220000,56.426472
50001,2.406832,5.382329,0.092505,7.881666,0.416000,28.671620,28.788000,57.459620
51001,2.472040,5.487576,0.091750,8.051366,0.416000,29.250892,29.356000,58.606892
52001,2.457000,5.493415,0.095343,8.045758,0.424000,29.828228,29.924000,59.752228
53001,2.509163,5.682459,0.096543,8.288165,0.432000,30.421320,30.492000,60.913320
54001,2.595214,5.688603,0.099709,8.383527,0.432000,30.994156,31.060000,62.054156
55001,2.600023,5.780029,0.098587,8.478639,0.448000,31.528168,31.628000,63.156168
56001,2.615021,5.857353,0.101076,8.573450,0.448000,32.081372,32.196000,64.277372
57001,2.663580,5.982116,0.110315,8.756012,0.448000,32.577320,32.764000,65.341320
58001,2.772656,6.090634,0.105092,8.968381,0.456000,33.042060,33.332000,66.374060
59001,2.695493,6.395083,0.109076,9.199653,0.464000,33.568560,33.900000,67.468560
60001,2.785626,6.554800,0.107683,9.448109,0.456000,34.125216,34.468000,68.593216
61001,2.799265,6.503996,0.110446,9.413707,0.472000,34.686968,35.036000,69.722968
62001,2.808493,6.642999,0.111942,9.563434,0.464000,35.254436,35.604000,70.858436
63001,2.863341,6.713037,0.114489,9.690867,0.480000,35.815228,36.172000,71.987228
64001,2.913870,6.778631,0.119093,9.811594,0.488000,36.375216,36.740000,73.115216
65001,2.900176,6.933444,0.117358,9.950977,0.488000,36.929248,37.308000,74.237248
66001,3.081949,6.983728,0.121972,10.187648,0.272000,37.449640,37.876000,75.325640
67001,3.024674,7.166885,0.121408,10.312967,0.512000,37.954248,38.444000,76.398248
68001,3.033971,7.189120,0.123384,10.346475,0.512000,38.458084,39.012000,77.470084
69001,3.011413,7.278976,0.122932,10.413321,0.504000,38.967136,39.580000,78.547136
70001,3.071130,7.319078,0.124770,10.514977,0.528000,39.498276,40.148000,79.646276
71001,3.137650,7.526333,0.129240,10.793222,0.528000,40.050472,40.716000,80.766472
72001,3.216249,7.494740,0.136889,10.847878,0.528000,40.607048,41.284000,81.891048
73001,3.167931,7.676699,0.132537,10.977167,0.536000,41.170740,41.852000,83.022740
74001,3.223681,7.937188,0.134023,11.294893,0.528000,41.742476,42.420000,84.162476
75001,3.267423,8.085443,0.136601,11.489467,0.552000,42.305024,42.988000,85.293024
76001,3.349283,8.088863,0.138353,11.576499,0.552000,42.869044,43.556000,86.425044
77001,3.374927,8.210838,0.137557,11.723321,0.544000,43.422744,44.124000,87.546744
78001,3.412805,8.391787,0.138133,11.942724,0.544000,43.974220,44.692000,88.666220
79001,3.533992,8.388367,0.140652,12.063010,0.552000,44.532976,45.260000,89.792976
80001,3.440303,8.564065,0.144740,12.149107,0.584000,45.102444,45.828000,90.930444
81001,3.554054,8.703455,0.150467,12.407976,0.584000,45.661212,46.396000,92.057212
82001,3.562058,8.837196,0.148098,12.547352,0.576000,46.212696,46.964000,93.176696
83001,3.586757,8.872588,0.148357,12.607702,0.592000,46.772836,47.532000,94.304836
84001,3.606490,8.964293,0.152035,12.722818,0.592000,47.315104,48.100000,95.415104
85001,3.610188,9.031558,0.152016,12.793762,0.600000,47.849740,48.668000,96.517740
86001,3.609046,9.140468,0.156134,12.905648,0.608000,48.378576,49.236000,97.614576
87001,3.752024,9.317097,0.154257,13.223378,0.608000,48.936804,49.804000,98.740804
88001,3.732255,9.338401,0.159984,13.230640,0.616000,49.484648,50.372000,99.856648
89001,3.835605,9.577659,0.161346,13.574610,0.616000,50.087108,50.940000,101.027108
90001,3.874497,9.595403,0.162011,13.631911,0.616000,50.759420,51.508000,102.267420
91001,3.830189,9.641174,0.170125,13.641488,0.640000,51.392868,52.076000,103.468868
92001,3.896068,9.877234,0.168579,13.941881,0.648000,51.982824,52.644000,104.626824
93001,4.230170,10.134491,0.166124,14.530785,0.640000,52.555244,53.212000,105.767244
94001,4.012529,10.136801,0.168854,14.318184,0.640000,53.140948,53.780000,106.920948
95001,4.101526,10.341253,0.170569,14.613348,0.640000,53.718508,54.348000,108.066508
96001,3.989968,10.400063,0.170895,14.560925,0.664000,54.330340,54.916000,109.246340
97001,4.077271,10.440194,0.172263,14.689728,0.664000,54.973248,55.484000,110.457248
98001,4.441114,10.633256,0.175135,15.249505,0.672000,55.620432,56.052000,111.672432
99001,4.170170,10.696774,0.186355,15.053299,0.680000,56.212776,56.620000,112.832776
100001,4.319574,10.758108,0.179454,15.257135,0.672000,56.792148,57.188000,113.980148
